step,train_loss,test_loss
0,2.692288757169843,2.615597554591429
10,2.5803243726512672,2.505813929949084
20,2.450683489541991,2.4478716022317912
30,2.528520396795382,2.551088244612596
40,2.156969289902756,2.54885233030686
50,2.604920665600859,2.456454934319632
60,2.4697712730448584,2.395235960249975
70,2.3998550201378435,2.603204972935175
80,2.6372536549055394,2.4694160893113692
90,2.349548184340907,2.4029280774316564
100,2.276805235124587,2.411709346296823
110,2.4395166371112107,2.2610255569733675
120,2.4531536404808505,2.0055430849395446
130,2.298766485405297,2.383736765583755
140,2.4551936345344783,2.3456309660003494
150,2.375464542679776,2.513681523522572
160,2.599694434561425,2.540420870294914
170,2.1142576302135723,2.0153042446142515
180,2.2754207692049118,2.3698914041870656
190,2.0788312133469242,2.2493752596543564
200,1.933204537379197,2.349351608470646
210,2.3176297424991885,2.4951538521392878
220,2.170369356211187,2.0111468318687113
230,1.9385441044865288,2.314579087336223
240,2.1511310225731766,2.0883142382787585
250,2.185591627049373,2.1052720072238436
260,1.90933035383404,2.173618392542597
270,1.821868193753721,2.2076519971791675
280,2.064904079290246,2.369875637953334
290,2.1885876331558096,2.408492696799832
300,1.8746910579548002,1.651268275798939
310,1.7688794694013699,1.7111884328659532
320,1.6863690618848295,1.831366858134984
330,1.4049462980607337,1.6342208581957867
340,1.4631753040333433,1.311124869997142
350,1.691515007863155,1.628822708316684
360,1.1961698991979806,1.2593281327594164
370,1.5419284990185809,1.4647474560224154
380,1.0697221131758432,1.1543725556260294
390,1.0741354757377977,0.9698931456229684
400,0.9433614624890921,0.8964730648632127
410,1.2262761891902842,1.1648580232381232
420,1.4232595563640702,0.8962848699283723
430,1.2139009005356345,1.2418882611331339
440,1.1101207332411407,1.1802344388667463
450,0.9847380936896607,0.9134443546724722
460,0.6957553970897533,1.0212254549551267
470,1.0796782963446756,0.8053842125683975
480,0.8679267923648675,0.6252685788838921
490,1.1584712215820463,0.772714823769157
500,0.5621079422567177,0.6277838838397838
510,0.5198007813952193,1.147479091758535
520,0.9837960312979896,1.1083168983169591
530,0.4808987886977614,0.7715855316205501
540,0.44588437253989344,0.6127102153595995
550,0.8017319246987006,0.4884293433789888
560,0.535798371600466,0.9440696718421935
570,0.4958776681269119,0.28357205952310083
580,0.602071739503951,0.5613677828336052
590,0.6226066624890982,0.35271555301393936
600,0.3147943619339677,0.5459077559433128
610,1.0804378824511993,0.6447008019190734
620,0.5385304192038296,0.36671182358735277
630,0.24751790313901745,0.754413001548454
640,0.12589421937817188,0.16691071225440682
650,0.6075224490034726,0.43343329877803927
660,0.5002842605466028,1.2487724320205094
670,0.4364852103220024,0.4136836406340678
680,0.3980252176398564,0.5410080782262746
690,0.13607684450305157,0.7747536518968511
700,0.5950177172121407,0.3922766243490759
710,0.26279994729787987,0.14121062708880774
720,0.14985287915597267,0.20091704148371342
730,0.4461802278666621,0.27324725923717763
740,0.2172241820700125,0.4815384859858321
750,0.4168355946707817,0.48392334949797194
760,0.11832074655024133,0.27736425931021186
770,0.1590465489236682,0.2932061004651996
780,0.4030772885188395,0.4666653331853502
790,0.10802715932236834,0.8570068027530273
800,0.435962326765723,0.3521398344479797
810,0.18387528808635953,0.052053603272762886
820,0.6909538831469766,0.30074991994123873
830,0.6401128307534948,0.3492300441739959
840,0.3678139381460555,0.36569906936763513
850,0.1332854256129956,0.4026398294229422
860,0.6859732509786994,0.3827704735002846
870,0.4431652008664742,0.5679952933586324
880,0.1036680631031302,0.10464424413755635
890,0.3001405699367224,0.3892070468757552
900,1.2368743246017884,1.365578130742561
910,0.4580650091089535,0.44349075986463105
920,0.10395340840098667,0.2656116294240919
930,0.7794815623053015,0.36109896063498126
940,0.019366596297730656,0.513833007893005
950,0.49174797939654297,0.3302545372780705
960,0.5486675820381561,0.0727193301868441
970,0.46347145956826896,0.27099237304317925
980,0.23395298719294041,0.1395670844758554
990,0.2637240395828073,0.27278824507020905
1000,0.553899404802433,0.06444464158886995
