step,train_loss,test_loss
0,9.466649881391254,9.137462945775175
10,6.66195912808989,6.373392698044153
20,5.7090481656493655,5.897323755409773
30,5.666081526234475,5.307363848583071
40,7.0132457309679,6.04029640353736
50,5.146243887047395,4.954767248132839
60,6.067491110138994,5.608736579173386
70,4.490171271241035,5.013910844073389
80,4.615877480779264,6.1460184065875465
90,5.825804180327148,4.867359697827289
100,6.0533347529369514,4.1722450387986845
110,5.108912228406759,3.9021818330268605
120,3.2554437559499836,4.469031448313087
130,3.2030116278710716,4.816309126431281
140,5.486212393547865,3.586319763269761
150,3.8397316126240564,3.7156918215924546
160,5.093135607360325,4.291750853227019
170,4.1006225285150615,4.354069124355701
180,4.048321813385811,5.009210595734188
190,4.106227614688077,2.9417451099487195
200,5.04712943637838,4.519668437992238
210,3.4035312427845636,4.2788142946685035
220,4.069083471261135,3.993964559121674
230,4.097469267204235,3.434608568478548
240,3.2047699535286354,3.8306459545554032
250,5.061621100917994,3.02688232848886
260,3.9122119817356813,2.379200159032387
270,4.159374322317695,2.5063601235241473
280,2.822331327286923,3.0869684401692177
290,3.655594282582861,2.9486034593608474
300,3.696174598557765,2.6485819658932934
310,4.493517364778004,3.8664656865419005
320,3.1958116069889217,3.2816636298620665
330,4.407201382704946,3.9314630716954415
340,3.494815391615373,2.459711524520951
350,3.634572322525319,3.4925875403571163
360,3.189751285847513,3.0654503163698403
370,2.464034215615695,2.1244053215191268
380,5.1457292318039904,3.245775198927903
390,3.6279359839106746,3.4918910285746185
400,2.0790770137609527,3.612102360162949
410,2.931160047142293,4.153334909618184
420,4.2115556045109415,3.464694610869083
430,3.0018742329361294,3.9032019625435623
440,3.6385613747124994,3.789702060913208
450,3.1162811884528203,2.841438685393402
460,3.499210344998992,3.094976820636323
470,2.8284429034457124,1.9178099585725967
480,2.020798685478602,4.253183179071567
490,2.5918477197634417,1.9754387407741065
500,3.761459861724243,3.857426434704088
510,2.2840618153298835,4.896111991690788
520,2.3004068432217033,3.4847149851133663
530,2.8550344591543606,3.610245701835718
540,4.044946463750324,2.8667728335720986
550,2.8822152546162325,4.3781144360099455
560,3.625998454882996,2.933106748233592
